Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
1997-10-20,80.0,84.75,79.25,84.75,84.308114035088,228000.0,745.0,19222250.0,,,5.5,4.75
1997-10-17,77.0,78.5,75.0,77.25,77.158322635858,233700.0,828.0,18031900.0,,,3.5,0.25
1997-10-16,72.0,76.75,71.75,76.25,74.768533909574,300800.0,576.0,22490375.0,,,5.0,4.25
1997-10-15,70.75,72.0,70.75,71.25,71.379186602871,20900.0,123.0,1491825.0,,,1.25,0.5
1997-10-14,71.0,71.75,70.5,71.0,71.14527027027,29600.0,123.0,2105900.0,,,1.25,0.0
1997-10-13,72.0,73.0,71.5,72.0,72.07976366322,67700.0,194.0,4879800.0,,,1.5,0.0
1997-10-10,73.5,74.0,71.75,72.0,72.528364116095,37900.0,201.0,2748825.0,,,2.25,-1.5
1997-10-09,70.5,73.0,70.0,73.0,71.256683168317,101000.0,249.0,7196925.0,,,3.0,2.5
1997-10-08,69.0,70.25,68.75,70.0,69.438340807175,44600.0,172.0,3096950.0,,,1.5,1.0
1997-10-07,68.5,69.5,68.25,69.25,69.008928571429,53200.0,116.0,3671275.0,,,1.25,0.75
1997-10-06,68.0,70.0,68.0,68.25,68.530637254902,20400.0,107.0,1398025.0,,,2.0,0.25
1997-10-03,71.25,71.25,68.0,68.25,69.276859504132,24200.0,131.0,1676500.0,,,3.25,-3.0
1997-10-01,69.25,72.0,68.5,71.75,70.096799580273,95300.0,217.0,6680225.0,,,3.5,2.5
1997-09-30,72.25,73.25,69.25,69.5,70.662222222222,90000.0,321.0,6359600.0,,,4.0,-2.75
1997-09-29,69.0,73.75,69.0,73.5,71.653920619555,103300.0,256.0,7401850.0,,,4.75,4.5
1997-09-26,67.25,68.75,67.25,68.25,67.891143911439,54200.0,127.0,3679700.0,,,1.5,1.0
1997-09-25,68.0,68.0,67.0,67.0,67.384920634921,18900.0,63.0,1273575.0,,,1.0,-1.0
1997-09-24,67.5,68.5,67.5,67.75,68.118518518519,13500.0,63.0,919600.0,,,1.0,0.25
1997-09-23,67.5,68.25,67.25,67.75,67.753571428571,28000.0,99.0,1897100.0,,,1.0,0.25
1997-09-22,68.0,68.5,67.25,68.0,67.895470383275,28700.0,125.0,1948600.0,,,1.25,0.0
1997-09-19,68.0,68.75,67.25,68.0,68.21568627451,35700.0,174.0,2435300.0,,,1.5,0.0
1997-09-18,67.5,68.5,67.0,68.0,67.820216049383,32400.0,102.0,2197375.0,,,1.5,0.5
1997-09-17,68.75,69.0,67.25,67.75,68.247890295359,23700.0,89.0,1617475.0,,,1.75,-1.0
1997-09-16,69.0,69.0,68.5,68.75,68.866071428571,14000.0,75.0,964125.0,,,0.5,-0.25
1997-09-15,68.0,69.0,67.75,68.5,68.221385542169,16600.0,75.0,1132475.0,,,1.25,0.5
1997-09-12,68.75,69.25,67.5,68.25,68.683802816901,35500.0,146.0,2438275.0,,,1.75,-0.5
1997-09-11,69.25,70.0,68.5,68.75,69.287769784173,27800.0,105.0,1926200.0,,,1.5,-0.5
1997-09-10,68.5,69.75,68.0,69.25,69.080291970803,13700.0,75.0,946400.0,,,1.75,0.75
